time,camera,event,severity,persons,image,description
20260319_102546,5,loitering,warning,2,output/captures/cam5_20260319_102546.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102546,2,loitering,warning,3,output/captures/cam2_20260319_102546.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102546,5,loitering,warning,2,output/captures/cam5_20260319_102546.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102546,2,loitering,warning,3,output/captures/cam2_20260319_102546.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102546,5,loitering,warning,3,output/captures/cam5_20260319_102546.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102546,2,loitering,warning,3,output/captures/cam2_20260319_102546.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102546,5,loitering,warning,3,output/captures/cam5_20260319_102546.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102546,2,loitering,warning,3,output/captures/cam2_20260319_102546.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102546,5,loitering,warning,2,output/captures/cam5_20260319_102546.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102546,2,loitering,warning,3,output/captures/cam2_20260319_102546.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102546,5,loitering,warning,2,output/captures/cam5_20260319_102546.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102546,2,loitering,warning,3,output/captures/cam2_20260319_102546.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102546,5,loitering,warning,2,output/captures/cam5_20260319_102546.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102546,2,loitering,warning,3,output/captures/cam2_20260319_102546.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102546,5,loitering,warning,2,output/captures/cam5_20260319_102546.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102547,2,loitering,warning,3,output/captures/cam2_20260319_102547.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102547,5,loitering,warning,3,output/captures/cam5_20260319_102547.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102547,2,loitering,warning,3,output/captures/cam2_20260319_102547.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102547,5,loitering,warning,3,output/captures/cam5_20260319_102547.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102547,2,loitering,warning,3,output/captures/cam2_20260319_102547.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102547,5,loitering,warning,3,output/captures/cam5_20260319_102547.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102547,2,loitering,warning,3,output/captures/cam2_20260319_102547.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102547,5,loitering,warning,3,output/captures/cam5_20260319_102547.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102547,2,loitering,warning,3,output/captures/cam2_20260319_102547.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102547,5,loitering,warning,3,output/captures/cam5_20260319_102547.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102547,2,loitering,warning,3,output/captures/cam2_20260319_102547.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102547,5,crowd,critical,4,output/captures/cam5_20260319_102547.jpg,다수 인원(4명)이 밀집하여 안전 사고 위험이 높은 상황입니다.
20260319_102547,2,loitering,warning,3,output/captures/cam2_20260319_102547.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102547,5,loitering,warning,3,output/captures/cam5_20260319_102547.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102547,2,loitering,warning,3,output/captures/cam2_20260319_102547.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102547,5,loitering,warning,3,output/captures/cam5_20260319_102547.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102547,2,loitering,warning,3,output/captures/cam2_20260319_102547.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102548,5,loitering,warning,3,output/captures/cam5_20260319_102548.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102548,2,loitering,warning,3,output/captures/cam2_20260319_102548.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102548,5,crowd,critical,4,output/captures/cam5_20260319_102548.jpg,다수 인원(4명)이 밀집하여 안전 사고 위험이 높은 상황입니다.
20260319_102548,2,loitering,warning,3,output/captures/cam2_20260319_102548.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102548,5,crowd,critical,4,output/captures/cam5_20260319_102548.jpg,다수 인원(4명)이 밀집하여 안전 사고 위험이 높은 상황입니다.
20260319_102548,2,loitering,warning,3,output/captures/cam2_20260319_102548.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102548,5,crowd,critical,5,output/captures/cam5_20260319_102548.jpg,다수 인원(5명)이 밀집하여 안전 사고 위험이 높은 상황입니다.
20260319_102548,2,loitering,warning,3,output/captures/cam2_20260319_102548.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102548,5,crowd,critical,5,output/captures/cam5_20260319_102548.jpg,다수 인원(5명)이 밀집하여 안전 사고 위험이 높은 상황입니다.
20260319_102548,2,loitering,warning,3,output/captures/cam2_20260319_102548.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102548,5,crowd,critical,5,output/captures/cam5_20260319_102548.jpg,다수 인원(5명)이 밀집하여 안전 사고 위험이 높은 상황입니다.
20260319_102548,2,loitering,warning,3,output/captures/cam2_20260319_102548.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102548,3,loitering,warning,3,output/captures/cam3_20260319_102548.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102548,5,loitering,warning,3,output/captures/cam5_20260319_102548.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102548,2,loitering,warning,3,output/captures/cam2_20260319_102548.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102548,3,loitering,warning,2,output/captures/cam3_20260319_102548.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102548,5,loitering,warning,2,output/captures/cam5_20260319_102548.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102548,2,loitering,warning,3,output/captures/cam2_20260319_102548.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102548,3,loitering,warning,2,output/captures/cam3_20260319_102548.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102548,5,loitering,warning,3,output/captures/cam5_20260319_102548.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102549,2,loitering,warning,3,output/captures/cam2_20260319_102549.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102549,3,loitering,warning,2,output/captures/cam3_20260319_102549.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102549,5,loitering,warning,2,output/captures/cam5_20260319_102549.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102549,2,loitering,warning,3,output/captures/cam2_20260319_102549.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102549,3,loitering,warning,2,output/captures/cam3_20260319_102549.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102549,5,loitering,warning,2,output/captures/cam5_20260319_102549.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102549,2,loitering,warning,3,output/captures/cam2_20260319_102549.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102549,3,loitering,warning,2,output/captures/cam3_20260319_102549.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102549,5,loitering,warning,2,output/captures/cam5_20260319_102549.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102549,2,loitering,warning,3,output/captures/cam2_20260319_102549.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102549,3,loitering,warning,2,output/captures/cam3_20260319_102549.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102549,5,loitering,warning,2,output/captures/cam5_20260319_102549.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102549,2,loitering,warning,3,output/captures/cam2_20260319_102549.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102549,3,loitering,warning,2,output/captures/cam3_20260319_102549.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102549,2,loitering,warning,3,output/captures/cam2_20260319_102549.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102549,3,loitering,warning,2,output/captures/cam3_20260319_102549.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102549,5,loitering,warning,2,output/captures/cam5_20260319_102549.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102549,2,loitering,warning,3,output/captures/cam2_20260319_102549.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102549,3,loitering,warning,2,output/captures/cam3_20260319_102549.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102549,5,loitering,warning,2,output/captures/cam5_20260319_102549.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102549,2,loitering,warning,3,output/captures/cam2_20260319_102549.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102549,3,loitering,warning,2,output/captures/cam3_20260319_102549.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102549,5,loitering,warning,2,output/captures/cam5_20260319_102549.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,2,loitering,warning,3,output/captures/cam2_20260319_102550.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,3,loitering,warning,2,output/captures/cam3_20260319_102550.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,5,loitering,warning,3,output/captures/cam5_20260319_102550.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,2,loitering,warning,3,output/captures/cam2_20260319_102550.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,3,loitering,warning,2,output/captures/cam3_20260319_102550.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,5,loitering,warning,3,output/captures/cam5_20260319_102550.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,2,loitering,warning,3,output/captures/cam2_20260319_102550.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,3,loitering,warning,3,output/captures/cam3_20260319_102550.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,5,loitering,warning,2,output/captures/cam5_20260319_102550.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,2,loitering,warning,3,output/captures/cam2_20260319_102550.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,3,loitering,warning,3,output/captures/cam3_20260319_102550.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,5,loitering,warning,2,output/captures/cam5_20260319_102550.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,2,loitering,warning,3,output/captures/cam2_20260319_102550.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,3,loitering,warning,3,output/captures/cam3_20260319_102550.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,5,loitering,warning,3,output/captures/cam5_20260319_102550.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,2,loitering,warning,3,output/captures/cam2_20260319_102550.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,5,loitering,warning,2,output/captures/cam5_20260319_102550.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,2,loitering,warning,3,output/captures/cam2_20260319_102550.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,5,loitering,warning,2,output/captures/cam5_20260319_102550.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,0,loitering,warning,2,output/captures/cam0_20260319_102550.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,2,loitering,warning,3,output/captures/cam2_20260319_102550.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,3,loitering,warning,2,output/captures/cam3_20260319_102550.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,5,loitering,warning,2,output/captures/cam5_20260319_102550.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,0,loitering,warning,2,output/captures/cam0_20260319_102550.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,2,loitering,warning,3,output/captures/cam2_20260319_102550.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102550,3,loitering,warning,2,output/captures/cam3_20260319_102550.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102551,5,loitering,warning,2,output/captures/cam5_20260319_102551.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102551,0,loitering,warning,2,output/captures/cam0_20260319_102551.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102551,2,loitering,warning,3,output/captures/cam2_20260319_102551.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102551,3,loitering,warning,2,output/captures/cam3_20260319_102551.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102551,5,loitering,warning,2,output/captures/cam5_20260319_102551.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102551,0,loitering,warning,2,output/captures/cam0_20260319_102551.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102551,2,loitering,warning,3,output/captures/cam2_20260319_102551.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102551,3,loitering,warning,2,output/captures/cam3_20260319_102551.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102551,5,loitering,warning,2,output/captures/cam5_20260319_102551.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102551,2,loitering,warning,3,output/captures/cam2_20260319_102551.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102551,5,loitering,warning,3,output/captures/cam5_20260319_102551.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102551,2,loitering,warning,3,output/captures/cam2_20260319_102551.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102551,5,loitering,warning,3,output/captures/cam5_20260319_102551.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102551,2,loitering,warning,3,output/captures/cam2_20260319_102551.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102551,5,loitering,warning,3,output/captures/cam5_20260319_102551.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102551,2,loitering,warning,3,output/captures/cam2_20260319_102551.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102551,5,loitering,warning,3,output/captures/cam5_20260319_102551.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102551,2,loitering,warning,3,output/captures/cam2_20260319_102551.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102551,5,loitering,warning,2,output/captures/cam5_20260319_102551.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102551,2,loitering,warning,3,output/captures/cam2_20260319_102551.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102552,3,loitering,warning,2,output/captures/cam3_20260319_102552.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102552,5,loitering,warning,2,output/captures/cam5_20260319_102552.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102552,0,loitering,warning,2,output/captures/cam0_20260319_102552.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102552,2,loitering,warning,3,output/captures/cam2_20260319_102552.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102552,3,loitering,warning,2,output/captures/cam3_20260319_102552.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102552,5,loitering,warning,2,output/captures/cam5_20260319_102552.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102552,0,loitering,warning,2,output/captures/cam0_20260319_102552.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102552,2,loitering,warning,3,output/captures/cam2_20260319_102552.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102552,3,loitering,warning,2,output/captures/cam3_20260319_102552.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102552,5,loitering,warning,2,output/captures/cam5_20260319_102552.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102552,2,loitering,warning,3,output/captures/cam2_20260319_102552.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102552,3,loitering,warning,2,output/captures/cam3_20260319_102552.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102552,5,loitering,warning,2,output/captures/cam5_20260319_102552.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102552,2,loitering,warning,3,output/captures/cam2_20260319_102552.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102552,3,loitering,warning,2,output/captures/cam3_20260319_102552.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102552,5,loitering,warning,2,output/captures/cam5_20260319_102552.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102552,2,loitering,warning,3,output/captures/cam2_20260319_102552.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
